function,k_factor,seed,best_value,simple_regret,n_evaluations,final_domain_size,total_time,mean_adaptive_threshold,n_domain_resets,min_domain_size,max_domain_size
rosenbrock2d,0.9,5,0.3268943715489924,0.3268943715489924,630,2500,2.7167043685913086,0.018396399639927986,0,2500,2500
rosenbrock2d,0.9,6,4.758388190676474,4.758388190676474,630,2500,2.8691089153289795,0.018398690623824876,0,2500,2500
rosenbrock2d,0.9,7,0.14032331731833408,0.14032331731833408,630,2500,2.7901298999786377,0.018396399639927986,0,2500,2500
rosenbrock2d,0.9,8,1.2249062890462106,1.2249062890462106,630,2500,2.785679817199707,0.01839639963992799,0,2500,2500
rosenbrock2d,0.9,9,5.591641584852614,5.591641584852614,630,2500,2.6935555934906006,0.018396399639927986,0,2500,2500
rosenbrock2d,1.0,0,0.3268943715489924,0.3268943715489924,630,2500,2.7231686115264893,0.020395999599919983,0,2500,2500
rosenbrock2d,1.0,1,0.14032331731833408,0.14032331731833408,630,2500,2.756165027618408,0.020395999599919983,0,2500,2500
rosenbrock2d,1.0,2,0.3268943715489924,0.3268943715489924,630,2500,2.7971065044403076,0.020395999599919987,0,2500,2500
rosenbrock2d,1.0,3,0.3268943715489924,0.3268943715489924,630,2500,2.8402936458587646,0.020395999599919983,0,2500,2500
rosenbrock2d,1.0,4,0.3268943715489924,0.3268943715489924,630,2500,2.8055295944213867,0.020395999599919987,0,2500,2500
rosenbrock2d,1.0,5,0.3268943715489924,0.3268943715489924,630,2500,2.8094730377197266,0.020395999599919983,0,2500,2500
rosenbrock2d,1.0,6,4.758388190676474,4.758388190676474,630,2500,2.5901572704315186,0.020398367359805415,0,2500,2500
rosenbrock2d,1.0,7,0.14032331731833408,0.14032331731833408,630,2500,2.6268234252929688,0.020395999599919983,0,2500,2500
rosenbrock2d,1.0,8,1.2249062890462106,1.2249062890462106,630,2500,2.7617838382720947,0.020395999599919987,0,2500,2500
rosenbrock2d,1.0,9,5.591641584852614,5.591641584852614,630,2500,2.6806423664093018,0.020395999599919983,0,2500,2500
