function,k_samples,p_threshold,epsilon,seed,simple_regret,cumulative_regret,n_evaluations,total_time,best_value,final_domain_size
branin,50,0.3,0.1,104,0.2705594724235717,35418.18430655645,630,9.807399988174438,0.6684464724235717,2500
branin,50,0.3,0.1,105,0.07480380217855298,36905.135269807775,630,8.678447008132935,0.47269080217855297,2500
branin,50,0.3,0.1,106,0.153086403751847,33676.75891143264,630,9.869968175888062,0.550973403751847,2500
branin,50,0.3,0.1,107,0.10339752042404526,34267.06232087778,630,10.452491044998169,0.5012845204240453,2500
branin,50,0.3,0.1,108,0.16005592324075557,36882.48466951639,630,9.958881616592407,0.5579429232407556,2500
branin,50,0.3,0.1,109,0.0972357826887994,34589.87629436359,630,12.515928268432617,0.4951227826887994,2500
branin,50,0.3,0.1,110,0.3474885137832534,33451.519103768485,630,10.409761905670166,0.7453755137832534,2500
branin,50,0.3,0.1,111,0.006605697787159026,35383.52702582714,630,12.928403377532959,0.404492697787159,2500
branin,50,0.3,0.1,112,0.009019962044670815,33103.35611175463,630,9.727103233337402,0.4069069620446708,2500
branin,50,0.3,0.1,113,0.07480380217855298,34956.33011194586,630,9.820078134536743,0.47269080217855297,2500
branin,50,0.3,0.1,114,0.07480380217855298,34933.02502138438,630,9.611504077911377,0.47269080217855297,2500
branin,50,0.4,0.1,100,0.23697428159646428,33896.79677987708,630,10.18049931526184,0.6348612815964643,2500
branin,50,0.4,0.1,101,0.006605697787159026,34702.6950191714,630,10.04492473602295,0.404492697787159,2500
branin,50,0.4,0.1,102,0.0972357826887994,36216.42779138351,630,11.35278606414795,0.4951227826887994,2500
branin,50,0.4,0.1,103,0.006605697787159026,35191.58496706664,630,9.287793159484863,0.404492697787159,2500
branin,50,0.4,0.1,104,0.2705594724235717,35418.18430655645,630,10.067936897277832,0.6684464724235717,2500
branin,50,0.4,0.1,105,0.07480380217855298,36905.135269807775,630,8.77824354171753,0.47269080217855297,2500
branin,50,0.4,0.1,106,0.153086403751847,33676.75891143264,630,9.707411766052246,0.550973403751847,2500
branin,50,0.4,0.1,107,0.10339752042404526,34267.06232087778,630,9.694425344467163,0.5012845204240453,2500
branin,50,0.4,0.1,108,0.16005592324075557,36882.48466951639,630,9.486883640289307,0.5579429232407556,2500
branin,50,0.4,0.1,109,0.0972357826887994,34589.87629436359,630,12.661630630493164,0.4951227826887994,2500
branin,50,0.4,0.1,110,0.3474885137832534,33451.519103768485,630,10.481508731842041,0.7453755137832534,2500
branin,50,0.4,0.1,111,0.006605697787159026,35383.52702582714,630,13.091236114501953,0.404492697787159,2500
branin,50,0.4,0.1,112,0.009019962044670815,33103.35611175463,630,9.659835577011108,0.4069069620446708,2500
branin,50,0.4,0.1,113,0.07480380217855298,34956.33011194586,630,9.861766338348389,0.47269080217855297,2500
branin,50,0.4,0.1,114,0.07480380217855298,34933.02502138438,630,9.547157526016235,0.47269080217855297,2500
ackley2d,20,0.2,0.1,100,0.893619124840733,6138.533371942274,630,11.692731380462646,0.893619124840733,2500
ackley2d,20,0.2,0.1,101,2.354335340895578,6156.983254929827,630,8.350630521774292,2.354335340895578,2500
ackley2d,20,0.2,0.1,102,0.893619124840733,6122.631010460994,630,10.77862548828125,0.893619124840733,2500
ackley2d,20,0.2,0.1,103,2.354335340895578,6171.374650576177,630,9.172586917877197,2.354335340895578,2500
ackley2d,20,0.2,0.1,104,0.893619124840733,6249.451717500822,630,9.229676723480225,0.893619124840733,2500
ackley2d,20,0.2,0.1,105,0.893619124840733,6176.796726943944,630,11.337397575378418,0.893619124840733,2500
ackley2d,20,0.2,0.1,106,2.354335340895578,6296.665830254564,630,11.11363434791565,2.354335340895578,2500
ackley2d,20,0.2,0.1,107,0.893619124840733,6212.792485930171,630,11.815103769302368,0.893619124840733,2500
ackley2d,20,0.2,0.1,108,0.893619124840733,6103.560964625476,630,10.735499143600464,0.893619124840733,2500
ackley2d,20,0.2,0.1,109,0.893619124840733,6146.7444289542855,630,9.592748165130615,0.893619124840733,2500
ackley2d,20,0.2,0.1,110,0.893619124840733,6178.807680575989,630,11.006460905075073,0.893619124840733,2500
ackley2d,20,0.2,0.1,111,0.893619124840733,6217.058824843192,630,11.553202629089355,0.893619124840733,2500
ackley2d,20,0.2,0.1,112,2.354335340895578,6218.435333240572,630,11.772458791732788,2.354335340895578,2500
ackley2d,20,0.2,0.1,113,0.893619124840733,6116.858543861274,630,12.162905216217041,0.893619124840733,2500
ackley2d,20,0.2,0.1,114,0.893619124840733,6221.5134315402,630,11.323445320129395,0.893619124840733,2500
ackley2d,20,0.3,0.1,100,0.893619124840733,6138.533371942274,630,11.91364598274231,0.893619124840733,2500
ackley2d,20,0.3,0.1,101,2.354335340895578,6156.983254929827,630,8.692851781845093,2.354335340895578,2500
ackley2d,20,0.3,0.1,102,0.893619124840733,6122.631010460994,630,10.88692855834961,0.893619124840733,2500
